country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ireland;-0.48 ; 0.11 ; 0.24 ; 0.42 ; 0.53 ; 0.57 ; 0.58 ; 0.61 ; 0.67 ; 0.45 ; 0.43 
Latvia; 0.35 ; 0.41 ; 0.53 ; 0.49 ; 0.41 ; 0.42 ; 0.45 ; 0.45 ; 0.45 ; 0.46 ; 0.42 
Bulgaria; 0.23 ; 0.35 ; 0.42 ; 0.44 ; 0.38 ; 0.39 ; 0.56 ; 0.56 ; 0.52 ; 0.49 ; 0.42 
Lithuania; 0.26 ; 0.25 ; 0.36 ; 0.41 ; 0.46 ; 0.38 ; 0.42 ; 0.50 ; 0.52 ; 0.58 ; 0.41 
Slovak Republic; 0.22 ; 0.39 ; 0.47 ; 0.60 ; 0.57 ; 0.57 ; 0.52 ; 0.56 ; 0.57 ; 0.54 ; 0.41 
France; 0.38 ; 0.47 ; 0.47 ; 0.50 ; 0.51 ; 0.51 ; 0.51 ; 0.55 ; 0.58 ; 0.58 ; 0.41 
Russian Federation; 0.34 ; 0.53 ; 0.43 ; 0.37 ; 0.37 ; 0.32 ; 0.27 ; 0.36 ; 0.63 ; 0.57 ; 0.39 
Iceland; 0.19 ; 0.30 ; 0.42 ; 0.65 ; 0.71 ; 0.70 ; 1.48 ; 0.84 ; 0.82 ; 0.72 ; 0.36 
Croatia; 0.24 ; 0.22 ; 0.30 ; 0.34 ; 0.38 ; 0.50 ; 0.58 ; 0.68 ; 0.61 ; 0.72 ; 0.36 
Cyprus; 0.24 ; 0.34 ; 0.35 ; 0.40 ; 0.34 ; 0.61 ; 0.56 ; 0.64 ; 0.49 ; 0.62 ; 0.34 
Poland; 0.19 ; 0.29 ; 0.36 ; 0.37 ; 0.36 ; 0.40 ; 0.42 ; 0.44 ; 0.49 ; 0.50 ; 0.34 
Ukraine; 0.33 ; 0.37 ; 0.32 ; 0.24 ; 0.33 ; 0.66 ; 0.41 ; 0.41 ; 0.37 ; 0.37 ; 0.32 
Bosnia and Herzegovina; 0.25 ; 0.25 ; 0.23 ; 0.29 ; 0.29 ; 0.39 ; 0.42 ; 0.49 ; 0.51 ; 0.50 ; 0.31 
Estonia; 0.51 ; 0.54 ; 0.49 ; 0.50 ; 0.54 ; 0.51 ; 0.48 ; 0.47 ; 0.45 ; 0.52 ; 0.31 
Belarus; 0.15 ; 0.37 ; 0.56 ; 0.31 ; 0.34 ; 0.29 ; 0.33 ; 0.42 ; 0.55 ; 0.47 ; 0.30 
Uruguay; 0.19 ; 0.20 ; 0.09 ; 0.16 ; 0.13 ; 0.19 ; 0.27 ; 0.25 ; 0.30 ; 0.30 ; 0.27 
Macao SAR, China; 2.11 ; 2.43 ; 2.26 ; 2.40 ; 2.20 ; 1.61 ; 1.52 ; 1.69 ; 1.73 ; 1.79 ; 0.25 
New Zealand; 0.11 ; 0.17 ; 0.24 ; 0.29 ; 0.33 ; 0.34 ; 0.38 ; 0.40 ; 0.40 ; 0.28 ; 0.25 
Serbia; 0.21 ; 0.13 ; 0.06 ; 0.21 ; 0.19 ; 0.31 ; 0.40 ; 0.46 ; 0.44 ; 0.40 ; 0.22 
Spain; 0.04 ; 0.06 ; 0.07 ; 0.26 ; 0.30 ; 0.29 ; 0.34 ; 0.38 ; 0.42 ; 0.41 ; 0.21 
Thailand; 0.18 ; 0.25 ; 0.16 ; 0.21 ; 0.22 ; 0.31 ; 0.37 ; 0.34 ; 0.33 ; 0.35 ; 0.17 
Greece; 0.06 ; 0.17 ; 0.40 ; 0.51 ; 0.44 ; 0.49 ; 0.60 ; 0.61 ; 0.60 ; 0.56 ; 0.16 
North Macedonia; 0.25 ; 0.28 ; 0.23 ; 0.21 ; 0.22 ; 0.25 ; 0.27 ; 0.33 ; 0.39 ; 0.38 ; 0.15 
Lesotho;-0.09 ;-0.49 ; 0.10 ;-0.11 ; 0.09 ;-0.08 ;-0.49 ;-0.22 ;-0.21 ;-0.24 ; 0.15 
Israel; 0.21 ; 0.20 ; 0.12 ; 0.18 ; 0.24 ; 0.29 ; 0.30 ; 0.37 ; 0.26 ; 0.26 ; 0.13 
Tonga;-0.85 ;-0.95 ;-0.63 ;-0.55 ;-0.03 ;-0.44 ;-0.15 ; 0.02 ;-0.00 ; 0.01 ; 0.13 
Australia; 0.08 ; 0.16 ; 0.23 ; 0.27 ; 0.26 ; 0.23 ; 0.22 ; 0.29 ; 0.32 ; 0.24 ; 0.13 
Turkiye;-0.03 ; 0.01 ; 0.13 ; 0.15 ; 0.17 ; 0.21 ; 0.17 ; 0.14 ; 0.17 ; 0.17 ; 0.09 
Mexico;-0.27 ;-0.22 ;-0.15 ;-0.17 ;-0.18 ;-0.14 ;-0.06 ; 0.04 ;-0.01 ; 0.03 ; 0.03 
Azerbaijan; 1.29 ; 1.17 ; 0.79 ; 0.64 ; 0.62 ; 0.03 ; 0.15 ; 0.27 ; 0.66 ; 0.76 ; 0.02 
Brazil; 0.05 ; 0.13 ; 0.13 ; 0.25 ; 0.14 ; 0.18 ; 0.22 ; 0.19 ; 0.20 ; 0.24 ; 0.02 
Canada; 0.14 ; 0.23 ; 0.25 ; 0.28 ; 0.34 ; 0.31 ; 0.30 ; 0.32 ; 0.36 ; 0.35 ; 0.02 
Moldova; 0.05 ;-0.01 ; 0.06 ; 0.09 ; 0.06 ; 0.02 ; 0.04 ; 0.17 ; 0.10 ; 0.09 ; 0.02 
United Kingdom; 0.10 ; 0.18 ; 0.12 ; 0.18 ; 0.17 ; 0.19 ; 0.22 ; 0.29 ; 0.31 ; 0.31 ;-0.01 
Ecuador; 0.03 ; 0.18 ; 0.11 ;-0.08 ;-0.08 ;-0.09 ;-0.19 ;-0.05 ; 0.12 ; 0.10 ;-0.02 
Argentina; 0.04 ;-0.01 ; 0.02 ;-0.05 ;-0.05 ;-0.10 ;-0.07 ;-0.10 ;-0.06 ; 0.07 ;-0.04 
Armenia;-0.30 ;-0.17 ;-0.09 ;-0.02 ;-0.07 ;-0.08 ;-0.07 ;-0.06 ;-0.01 ; 0.03 ;-0.05 
Colombia;-0.18 ;-0.09 ; 0.01 ; 0.01 ;-0.04 ;-0.07 ; 0.02 ; 0.02 ;-0.02 ; 0.04 ;-0.05 
Chile; 0.12 ; 0.14 ; 0.11 ; 0.06 ; 0.04 ; 0.05 ; 0.03 ; 0.04 ; 0.08 ; 0.04 ;-0.05 
Romania; 0.11 ; 0.18 ; 0.24 ; 0.31 ; 0.32 ; 0.33 ; 0.20 ; 0.14 ; 0.14 ; 0.07 ;-0.09 
Costa Rica;-0.27 ;-0.21 ;-0.20 ;-0.20 ;-0.21 ;-0.17 ;-0.13 ;-0.18 ;-0.13 ;-0.08 ;-0.11 
Saudi Arabia; 0.86 ; 1.38 ; 1.43 ; 1.10 ; 0.57 ;-0.36 ;-0.32 ;-0.07 ; 0.24 ; 0.24 ;-0.12 
El Salvador;-0.48 ;-0.47 ;-0.41 ;-0.36 ;-0.24 ;-0.19 ;-0.10 ;-0.02 ;-0.03 ; 0.01 ;-0.12 
Mauritius;-0.08 ;-0.10 ; 0.04 ; 0.03 ; 0.04 ;-0.02 ; 0.10 ; 0.15 ; 0.15 ;-0.05 ;-0.13 
Albania;-0.16 ;-0.19 ;-0.14 ;-0.19 ;-0.19 ;-0.09 ; 0.03 ; 0.06 ; 0.07 ; 0.03 ;-0.14 
Malaysia;-0.04 ; 0.05 ;-0.00 ;-0.04 ;-0.02 ;-0.07 ;-0.11 ;-0.09 ;-0.11 ;-0.04 ;-0.14 
Zimbabwe;-1.15 ;-1.21 ;-1.19 ;-1.20 ;-1.17 ;-1.16 ;-1.23 ;-1.27 ;-1.20 ;-0.43 ;-0.15 
Peru;-0.11 ;-0.01 ; 0.07 ; 0.01 ;-0.01 ;-0.10 ;-0.09 ;-0.10 ;-0.06 ; 0.00 ;-0.15 
United States;-0.20 ;-0.13 ;-0.07 ; 0.09 ; 0.12 ; 0.13 ; 0.10 ; 0.10 ; 0.09 ; 0.09 ;-0.17 
Philippines;-0.35 ;-0.29 ;-0.25 ;-0.19 ;-0.15 ;-0.20 ;-0.25 ;-0.22 ;-0.19 ;-0.15 ;-0.18 
Kyrgyz Republic;-0.39 ;-0.32 ;-0.50 ;-0.45 ;-0.43 ;-0.40 ;-0.44 ;-0.30 ;-0.29 ;-0.32 ;-0.21 
Morocco;-0.22 ;-0.33 ;-0.36 ;-0.27 ;-0.29 ;-0.25 ;-0.25 ;-0.20 ;-0.23 ;-0.23 ;-0.21 
Honduras;-0.60 ;-0.49 ;-0.51 ;-0.58 ;-0.41 ;-0.26 ;-0.20 ;-0.16 ;-0.20 ;-0.15 ;-0.22 
Uzbekistan; 0.14 ; 0.27 ; 0.27 ; 0.10 ; 0.09 ;-0.03 ;-0.02 ;-0.00 ;-0.07 ;-0.17 ;-0.23 
Nicaragua;-0.48 ;-0.47 ;-0.45 ;-0.49 ;-0.44 ;-0.46 ;-0.44 ;-0.39 ;-0.44 ;-0.17 ;-0.24 
South Africa;-0.27 ;-0.24 ;-0.28 ;-0.26 ;-0.23 ;-0.22 ;-0.16 ;-0.17 ;-0.16 ;-0.18 ;-0.26 
Bahamas, The;-0.17 ;-0.19 ;-0.23 ;-0.29 ;-0.28 ;-0.13 ;-0.01 ;-0.20 ;-0.08 ; 0.13 ;-0.27 
Paraguay;-0.36 ;-0.22 ;-0.28 ;-0.26 ;-0.23 ;-0.22 ;-0.13 ;-0.13 ;-0.19 ;-0.22 ;-0.29 
Eswatini;-0.88 ;-0.66 ;-0.13 ;-0.18 ;-0.14 ;-0.32 ;-0.51 ;-0.40 ;-0.54 ;-0.46 ;-0.29 
Tunisia; 0.00 ;-0.11 ;-0.21 ;-0.30 ;-0.18 ;-0.28 ;-0.33 ;-0.31 ;-0.24 ;-0.15 ;-0.32 
Gabon;-0.06 ;-0.12 ; 0.16 ;-0.18 ; 0.04 ;-0.37 ;-0.46 ;-0.33 ;-0.27 ;-0.17 ;-0.33 
Mongolia; 0.04 ;-0.41 ;-0.55 ;-0.38 ;-0.28 ;-0.33 ;-0.66 ;-0.21 ;-0.01 ;-0.08 ;-0.36 
Dominican Republic;-0.46 ;-0.45 ;-0.52 ;-0.41 ;-0.33 ;-0.18 ;-0.29 ;-0.26 ;-0.23 ;-0.25 ;-0.38 
Lebanon;-0.35 ;-0.24 ;-0.48 ;-0.55 ;-0.44 ;-0.42 ;-0.48 ;-0.48 ;-0.62 ;-0.57 ;-0.38 
Guatemala;-0.69 ;-0.67 ;-0.63 ;-0.61 ;-0.58 ;-0.53 ;-0.46 ;-0.43 ;-0.43 ;-0.38 ;-0.39 
Nepal;-0.47 ;-0.47 ;-0.42 ;-0.25 ;-0.24 ;-0.14 ;-0.21 ;-0.32 ;-0.45 ;-0.33 ;-0.39 
Panama;-0.26 ;-0.26 ;-0.20 ;-0.24 ;-0.35 ;-0.28 ;-0.27 ;-0.24 ;-0.30 ;-0.27 ;-0.40 
Namibia;-0.56 ;-0.61 ;-0.49 ;-0.50 ;-0.53 ;-0.66 ;-0.80 ;-0.45 ;-0.50 ;-0.47 ;-0.42 
Georgia;-0.21 ;-0.10 ;-0.07 ;-0.04 ;-0.12 ;-0.11 ;-0.12 ;-0.02 ;-0.03 ;-0.03 ;-0.42 
Cabo Verde;-0.60 ;-0.54 ;-0.59 ;-0.45 ;-0.45 ;-0.18 ;-0.15 ;-0.17 ;-0.10 ;-0.01 ;-0.45 
Belize;-0.39 ;-0.28 ;-0.28 ;-0.30 ;-0.31 ;-0.42 ;-0.38 ;-0.31 ;-0.25 ;-0.29 ;-0.45 
Jordan;-0.29 ;-0.39 ;-0.56 ;-0.65 ;-0.46 ;-0.47 ;-0.39 ;-0.38 ;-0.33 ;-0.30 ;-0.45 
Timor-Leste; 3.75 ; 4.64 ; 3.71 ; 3.07 ; 0.49 ;-0.44 ;-2.18 ;-1.28 ;-0.86 ;-0.48 ;-0.47 
Egypt, Arab Rep.;-0.54 ;-0.69 ;-0.76 ;-0.79 ;-0.74 ;-0.73 ;-0.77 ;-0.60 ;-0.50 ;-0.44 ;-0.48 
Tajikistan;-0.82 ;-0.63 ;-0.66 ;-0.70 ;-0.56 ;-0.53 ;-0.59 ;-0.59 ;-0.54 ;-0.49 ;-0.49 
Bahrain;-0.09 ; 0.25 ; 0.25 ; 0.12 ; 0.25 ;-0.49 ;-0.50 ;-0.34 ;-0.20 ;-0.02 ;-0.49 
India;-0.56 ;-0.56 ;-0.52 ;-0.46 ;-0.46 ;-0.44 ;-0.42 ;-0.38 ;-0.39 ;-0.42 ;-0.51 
Congo, Rep.; 0.43 ; 0.58 ; 0.19 ;-0.17 ;-0.57 ;-1.58 ;-1.48 ;-0.64 ;-0.13 ;-0.21 ;-0.51 
Bangladesh;-0.63 ;-0.66 ;-0.58 ;-0.58 ;-0.57 ;-0.59 ;-0.58 ;-0.67 ;-0.66 ;-0.68 ;-0.61 
Sri Lanka;-0.42 ;-0.47 ;-0.46 ;-0.43 ;-0.47 ;-0.45 ;-0.32 ;-0.30 ;-0.31 ;-0.39 ;-0.63 
Kazakhstan; 0.03 ; 0.28 ; 0.11 ; 0.08 ;-0.05 ;-0.53 ;-0.48 ;-0.41 ;-0.16 ;-0.34 ;-0.65 
Angola;-0.45 ;-0.18 ;-0.41 ;-0.65 ;-1.02 ;-1.18 ;-1.07 ;-1.10 ;-0.62 ;-0.68 ;-0.67 
Lao PDR;-0.71 ;-0.67 ;-0.77 ;-0.82 ;-0.79 ;-0.92 ;-0.74 ;-0.76 ;-0.73 ;-0.67 ;-0.70 
Iraq;-0.29 ; 0.19 ; 0.14 ;-0.33 ;-0.36 ;-0.88 ;-0.94 ;-0.22 ; 0.33 ;-0.06 ;-0.78 
Kenya;-1.08 ;-1.09 ;-1.11 ;-0.98 ;-0.99 ;-0.97 ;-0.91 ;-0.89 ;-0.85 ;-0.86 ;-0.83 
Zambia;-0.99 ;-0.93 ;-0.90 ;-1.08 ;-0.99 ;-1.11 ;-0.99 ;-1.00 ;-0.97 ;-0.94 ;-0.90 
Afghanistan;-1.13 ;-1.18 ;-1.30 ;-1.31 ;-1.22 ;-1.25 ;-1.02 ;-1.08 ;-0.96 ;-1.04 ;-1.01 
Tanzania;-1.31 ;-1.32 ;-1.29 ;-1.31 ;-1.26 ;-1.21 ;-1.09 ;-1.01 ;-1.06 ;-1.04 ;-1.03 
Ethiopia;-1.12 ;-1.10 ;-1.13 ;-1.15 ;-1.18 ;-1.16 ;-1.14 ;-1.15 ;-1.07 ;-1.08 ;-1.07 
Ghana;-1.04 ;-0.95 ;-1.03 ;-1.06 ;-0.94 ;-0.74 ;-0.84 ;-0.72 ;-0.77 ;-0.77 ;-1.07 
Maldives;-0.64 ;-0.46 ;-0.30 ;-0.15 ; 0.06 ;-0.14 ;-0.47 ;-0.20 ;-0.33 ;-0.36 ;-1.09 
Rwanda;-0.95 ;-0.92 ;-1.03 ;-0.90 ;-1.06 ;-1.04 ;-1.03 ;-0.93 ;-0.93 ;-1.01 ;-1.11 
Madagascar;-1.27 ;-1.28 ;-1.31 ;-1.34 ;-1.16 ;-1.19 ;-1.04 ;-1.05 ;-0.99 ;-1.02 ;-1.17 
Cameroon;-1.11 ;-1.13 ;-1.11 ;-1.18 ;-1.17 ;-1.17 ;-1.28 ;-1.18 ;-1.12 ;-1.16 ;-1.18 
Malawi;-1.26 ;-1.43 ;-1.32 ;-1.39 ;-1.32 ;-1.32 ;-1.32 ;-1.34 ;-1.30 ;-1.20 ;-1.35 
Uganda;-1.58 ;-1.49 ;-1.44 ;-1.44 ;-1.37 ;-1.38 ;-1.26 ;-1.27 ;-1.26 ;-1.28 ;-1.36 
Congo, Dem. Rep.;-1.44 ;-1.39 ;-1.27 ;-1.27 ;-1.19 ;-1.41 ;-1.38 ;-1.36 ;-1.38 ;-1.52 ;-1.50 
Sudan;-1.02 ;-1.15 ;-1.60 ;-1.51 ;-1.41 ;-1.43 ;-1.45 ;-1.49 ;-1.58 ;-1.66 ;-1.50 
